MACN,TENCN,SODT,DIACHI,HESOGIA
CN0,Chi nhánh Ngọc Lan,987654321,"123 Đường Nguyễn Văn Linh, Quận 1, Thành phố Hồ Chí Minh",1.2
CN1,Chi nhánh Hòa Bình,901234567,"456 Đường Lê Lợi, Quận Hoàn Kiếm, Hà Nội",2.3
CN2,Chi nhánh Bình Minh,978889999,"789 Đường Nguyễn Thị Minh Khai, Quận 3, Thành phố Hồ Chí Minh",4.5
CN3,Chi nhánh Hải Đăng,912345678,"321 Đường Trần Phú, Quận Hai Bà Trưng, Hà Nội",2.3
CN4,Chi nhánh Sơn Hà,966666666,"555 Đường Trần Hưng Đạo, Quận 5, Thành phố Hồ Chí Minh",4.6
CN5,Chi nhánh Phượng Hoàng,944444444,"777 Đường Lý Thường Kiệt, Quận Thanh Xuân, Hà Nội",2.3
CN6,Chi nhánh Thành Công,933333333,"888 Đường Hùng Vương, Quận Ninh Kiều, Cần Thơ",4.5
CN7,Chi nhánh Mây Trắng,955555555,"999 Đường Nguyễn Thái Học, Quận Ba Đình, Hà Nội",3.5
CN8,Chi nhánh Lê Lợi,922222222,"666 Đường Trần Quốc Toản, Quận Hải Châu, Đà Nẵng",3.1
CN9,Chi nhánh Nguyễn Du,999999999,"11 Đường Nguyễn Công Trứ, Quận Hải An, Hải Phòng",2.4
